Company,# of posting,Skill
SenSen Video Business Intelligence Private Limite d,2,"Sales Engineering, Demo, POC#####Sales Engineering, Demo, POC"
Shuchita Technologies (P) Ltd.,1,"Computer science, Sql Server 2008, server, jQuery, .NET framework, .Net, HR..."
Siemens Limited,1,"metadata, Web services, Cloud Applications, SFDC, Salesforce.com..."
Skill On Tap,1,"Java, Webservices Testing, Automation Testing Tools, API Testing..."
Skillsoft,2,"Computer science, Tomcat, IIS, SOA, Coding, Technical writing, MySQL...#####Unix, Automation, Linux, Networking, Technical writing, Javascript, Perl..."
Smart IMS (India) Pvt. Ltd,1,"Cold calling, Managed servicesMPLS, Networking, Diagnostics, Appliances..."
Solugenix India Private Limited,1,"splunk, Dashboards, unix"
Spectraforce Technologies (India) Pvt. Ltd.,5,"us it recruiter, us it recruitment...#####us it recruiter, us it recruitment...#####us it recruiter, us it recruitment...#####us it recruiter, us it recruitment...#####us it recruiter, us it recruitment..."
Spectrum,3,"SAP ECC, cloud integration, Application Lead, supply planning...#####mapping, test management, content activation, solman, trex, sld, rslaf, occ...#####d365, senior management, project management, erp, project development..."
Spot In Job Consultancy,13,"PSD, Illustrator, Javascript, HTML, Scheduling, SEO, Photoshop, Information...#####Web development, Debugging, CMS, PHP, HTML, Troubleshooting, Ruby...#####Software design, Visual Basic, Javascript, MVC, Troubleshooting...#####HR Administrator, Staffing, Web development, Consultancy...#####Graphics, Graphic designing, PDF, Illustrator, Staffing, Corel Draw...#####Front end, Web development, Debugging, CMS, PHP, Troubleshooting, Ruby...#####PDF, Staffing, MySQL, SMS, PHP, HTML, Scheduling, Information technology...#####Version control, Coding, Staffing, Javascript, HTML, Scheduling...#####Drupal, MySQL, Javascript, PHP, HTML, Scheduling, Stored procedures...#####HR Administrator, PDF, Staffing, Wordpress, Manager Technology, PHP...#####Graphics, PDF, Staffing, Animation, Consultancy, Scheduling...#####Backend, Usage, PDF, MIN, Programming, Manager Technology, PHP, Consultancy...#####Drupal, XML, Wordpress, Javascript, PHP, HTML, JSON, Open source, Joomla..."
Spruce IT Pvt. Ltd.,1,"screening, recruitment, Bench Sales Recruiter, h1b..."
Srinsoft Technologies Pvt. Ltd.,1,"pega prpc, software development, pega developer, pega rules commander, pega..."
Stalwart Management Consulting,1,"Team leading, SAS, Pharma, Management consulting, Life sciences..."
Sunera Technologies.,2,"Performance tuning, code, technical, analytical, software, administration...#####Performance tuning, code, technical, analytical, software, administration..."
Sutherland Global Services Inc,4,"Computer science, jQuery, Analytical, Javascript, Agile, Microsoft Dynamics...#####Computer science, jQuery, Analytical, Javascript, Agile, Microsoft Dynamics...#####Computer science, Customer service orientation, Dynamics CRM, Analytical...#####Computer science, jQuery, Analytical, Javascript, Agile, Microsoft Dynamics..."
Suvarna Technosoft Pvt Ltd,2,"it implementation, information it implementor, information it deployment...#####it implementation, information it implementor, information it deployment..."
Synchrony International Services Private Limited,2,"Data analysis, PDF, Agile, Data processing, Data structures, Informatica...#####remediation, Operational excellence, PDF, Process improvement..."
Synechron Technologies Pvt Ltd,1,"Configuration Management, Weblogic Administration, System Administration..."
T & A Solutions,28,"com, bca, Email, System programming, cad, mca, Copyright, scripting, ui...#####Email, technical, HTML, mca, bootstrap, sql, Copyright, java, ui, web...#####Email, technical, HTML, mca, bootstrap, sql, java, ui, web, design...#####parking, c, hr solutions, it, Information technology, Process Associate...#####parking, ERP, c, oracle, functions, developing, Triggers, Stored procedures...#####com, bca, Email, System programming, cad, mca, Copyright, scripting, ui...#####Email, technical, HTML, mca, bootstrap, sql, Copyright, java, ui, web...#####Email, technical, HTML, mca, bootstrap, sql, java, ui, web, design...#####parking, c, hr solutions, it, Information technology, Process Associate...#####parking, ERP, c, oracle, functions, developing, Triggers, Stored procedures...#####IIS, Linux, Shell scripting, Service, Perl, Windows, Apache...#####pipeline, copyright, service engineer, cv, information technology...#####copyright, information technology, sales manager, software, payrollemail...#####pa, cold calling, hiring, relationship building, information technology...#####channel partners, information technology max, trainer, telecom...#####c++, C, HTML, mca, bootstrap, tools, jquery, sql...#####rest, c, code, technical, hr solutions, it, ios, xcode, cocoa...#####marketing executive, distributors, customer profiling, marketing manager...#####marketing executive, distributors, customer profiling, sales strategy...#####parking, server, ERP, Tomcat, software, Quality Analyst, Eclipse, database,...#####parking, server, html5, developing, J2Ee, HTML, tools, sql, spring, coding,...#####service engineer, sales service, solutions, medical equipment cvpm#####pipeline, service engineer, sales service, medical equipment post sales#####, mbapayroll, sales manager, hr#####channel partners, solutions, telecom, prepaid sales, laptop#####new product launches, visual merchandising...#####parking, Hibernate, Core Java, jQuery, IT Manager, JBoss, Weblogic...#####Copyright, Team management, Renewable energySolar energy, RailwaysCV, Sales..."
TA Digital,1,"jQuery, Javascript, CMS, Unit testing, Adobe, Information technology, CRM..."
TALENTURE MANAGEMENT CONSULTING,1,"Management Executive, Lead Architect, SSRS, Development Lead..."
TERRA TECHNOLOGY,15,"Unix, Service management, global operations, Linux, Analytical, Windows...#####Unix, Service management, global operations, Data center operations, Linux,...#####Service management, global operations, Change management, Service level...#####Computer science, Supply chain management, Analytical...#####Patch management, SMTP, Computer science, Performance tuning, Networking...#####Unix, Service management, global operations, Linux, Analytical, Windows...#####Unix, Service management, global operations, Data center operations, Linux,...#####Service management, global operations, Change management, Service level...#####Computer science, Supply chain management, Analytical...#####Patch management, SMTP, Computer science, Performance tuning, Networking...#####Unix, technical, configuration, tools, Technical support, scripting, RDBMS,...#####Helpdesk, Linux, Network engineering, Active directory, DNS, Windows...#####Supply chain, Business process, Application support, Linux, XML, Analytical...#####Supply chain, Computer science, Data management, Production support...#####Supply chain, Business process, Application support..."
TM Inputs & Services Pvt. Ltd.,1,Company Secretary
TRINITY CLEANTECH PRIVATE LIMITED,1,"Analytical skills, Proposal writing, Data analysis, Client coordination..."
TRUNDL LABS PRIVATE LIMITED,1,"rest, css, confluence, crowd, clover, crucible, atlassian suite, javascript..."
TalPro,2,"Cyber Security, Linux, implementation, Information Security, Dlp...#####Cyber Security, Linux, Information Security, Security Architect, Dlp..."
Talent Times Pvt Ltd,1,"it implementation, software implementation, Hardware Networking..."
Talenttimes Pvt Ltd,1,"it implementation, software implementation, technical support..."
Tata Communications Ltd,18,"Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,...#####Change management, Helpdesk, QOS, Service assurance, Networking...#####Change management, Technology management, Helpdesk, QOS, Service assurance,..."
Tech Mahindra Ltd.,3,"SCOPE, Service Delivery Management, PMI, MPLS, Frame Relay, PMP...#####Bi, SQL Server, Informatica, SSIS, Thai Speaking Skill...#####strategy consulting, outsourcing advisory, proposal preparation..."
Tech Ringers,2,"SAN, css, software, HTML, cloud, salesforce, web, design, Javascript, Agile...#####BPO, SAN, rest, Data analysis, Data migration, development, css, software..."
TechKnowledgey Pte Ltd,3,"css, Azure, software development, information technology, maven, it...#####asp.net mvc, information technology, html5, ms sql server...#####san, it support, information technology, vmware, vcs, dns, networking..."
TechO2 India Private Limited,1,"Computer science, Maven, Automation, Test execution, Performance testing..."
Technosoft Global Services Pvt Ltd,19,"Financial Services, ISO 9001, Workforce Management, Finance, Scheduling...#####technical knowledge, revenue avoided, people management, team handling...#####tech support, service desk, it support, Technical Support, it helpdesk#####campaign management, web content management, e - commerce, web content, CMS...#####Web Content Management, Campaign management, Web Content...#####Validation, callings, Communication Skills, good communication, Excel...#####senior hrbp, payroll processing, human resource bp, lead hrbp, hrbp, hr bp,...#####sales specialist, technical support, excellent communications...#####Customer Service, Problem Resolution, Sales Operations, Calling, Presales...#####technical knowledge, revenue avoided, people management, customer service...#####Web Content Management, Campaign management, Web Content...#####international calling, call centre executive, technical support, fresher...#####international calling, call centre executive, technical support, fresher...#####international calling, call centre executive, technical support, fresher...#####international calling, call centre executive, technical support, fresher...#####sales operations, technical support, english communication...#####Business Process Management, Customer Relationship, Customer Service...#####tech support, service desk, it support, Technical Support, it helpdesk#####conflict management, hr generalist activities, Senior HR Executive..."
Techron Systems Private Limited,1,"sql400, order management, infor xa user security, rpg, INFOR XA, clle..."
Tecnics IntegrationTechnologies Pvt. Ltd.,3,"angular, Algorithms, information technology, performance tuning...#####angular, Algorithms, information technology, performance tuning...#####oracle financial SME, oracle, oracle financial functional consultant..."
Tectoro Consulting Pvt Ltd,2,"Computer science, IIS, Javascript, Agile, PHP, HTML, MVC, Visual Studio...#####Computer science, IIS, Javascript, Agile, PHP, HTML, MVC, Visual Studio..."
Teradata India Private Limited,1,"Java, C++, Software Development, C, Software Engineering, RDBMS..."
The U.S. Pharmacopeial Convention (USP),2,Information Technology#####Information Technology
Thinksure Information Technology Private Limited,4,"interviewing, IT Recruiter, it recruitment, screening, hiring...#####client relationship management, stakeholder management, recruitment, client...#####C#, Application Development, Effective Communication Skills, Dynamics CRM...#####IT Recruitment"
Trasers,1,"Computer science, jQuery, Front end, MySQL, Debugging, Consulting..."
Trigent Software Limited,2,"voice process, information technology, International Call Center...#####bpo, voice process, international bpo, international voice process..."
UTC Fire and Security India Ltd.,1,"Identity Access Management, active directory..."
United Global Soft,1,"jQuery, LINQ, UML, XML, HTML, WCF, WPF, SDLC, SQL, DHTML"
United States Pharmacopeia-India (P) Limited,1,"Computer science, Software design, Technical management, Production support..."
Urenok Software Solutions Pvt Ltd,1,"technical support, product support, customer management..."
VISUALPATH IT SERVICES PRIVATE LIMITED,3,"Educational Sales, Sales, cold calling, educational business development...#####Educational Sales, Sales, cold calling, educational business development...#####Educational Sales, Sales, cold calling, educational business development..."
VSPLASH TECHLABS Pvt.Ltd,2,Product Management#####Product Management
Vaave,5,"Cold calling, IT services, Automation, Email marketing, PHP...#####Cold calling, IT services, Automation, Email marketing, PHP...#####Cold calling, IT services, Automation, Email marketing, XML, MySQL, PHP...#####Cold calling, IT services, Automation, Email marketing, XML, MySQL, PHP...#####Cold calling, IT services, Automation, Email marketing, XML, MySQL, PHP..."
Value C Consulting Services Private Limited,2,"Training, Education Industry#####Training, Education Industry"
Value Consulting,1,"development, erp, project management, information technology, pre sales..."
Verizon Data Services India Pvt.Ltd,2,"Unix, XML, JSP, HTML, Application development, HTTP, Windows, Selenium...#####Unix, XML, JSP, HTML, Application development, HTTP, Windows, Selenium..."
Vimbri Media Pvt. Ltd. (The Dollar Business),1,"Networking, WAN, LAN, Antivirus, IT Hardware, Switching..."
Vistex Asia Pacific Pvt Ltd,1,"Backend, Automation, Network administration, Linux, Analytical..."
Vistex Asia Pacific Pvt. Ltd.,1,"sap fico implementation, SAP CO, sap co consultant, profitability analysis,..."
Wallero Technologies,1,"Computer science, Staffing, Information security, Corporate..."
Web Synergies (India) Pvt. Ltd,2,"algorithms, development, SAS, analytical, mobile, Business intelligence...#####algorithms, development, SAS, analytical, mobile, Business intelligence..."
Webprobity,1,"SAP, French, Project management, Web development, Internet marketing..."
Wells Fargo India Solutions Pvt. Ltd.,78,"Business process, Manager Quality Assurance, Data management, Trade finance...#####Business services, Cisa, Operational risk, Trade finance...#####SAN, Db2, Application development, Informatica, Oracle, Teradata, SyBase...#####Business process, Business services, Data management, Trade finance...#####Business process, SAN, Manager Quality Assurance, Consultant 4...#####Business process, Business services, Data management, Trade finance...#####Business process, Manager Quality Assurance, Data management, Trade finance...#####Business process, Business services, Consultant 4, Data management...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####Business services, SAN, Trade finance, Analytical, Asset management...#####SAN, jQuery, SSRS, Javascript, HTML, Asset management, SSIS...#####Business services, SAN, Wealth management, Trade finance, Workflow...#####UI development, SAN, Front end, Scrum, Asset management, microsoft...#####Microstrategy, SAN, Data analysis, Db2, Informatica, Asset management...#####SAN, RDBMS, TDD, Pega, Asset management, Risk management...#####SAN, Automation, Support Analyst, Production support, Asset management...#####Business process, Manager Quality Assurance, Data management, Trade finance...#####Business services, Cisa, Operational risk, Trade finance...#####SAN, Db2, Application development, Informatica, Oracle, Teradata, SyBase...#####Business process, Business services, Data management, Trade finance...#####Business process, SAN, Manager Quality Assurance, Consultant 4...#####Business process, Business services, Data management, Trade finance...#####Business process, Manager Quality Assurance, Data management, Trade finance...#####Business process, Business services, Consultant 4, Data management...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####SAN, Linux, Project management, Web development, Javascript, Agile, JSON...#####Business services, SAN, Trade finance, Analytical, Asset management...#####SAN, jQuery, SSRS, Javascript, HTML, Asset management, SSIS...#####Business services, SAN, Wealth management, Trade finance, Workflow...#####UI development, SAN, Front end, Scrum, Asset management, microsoft...#####Microstrategy, SAN, Data analysis, Db2, Informatica, Asset management...#####SAN, RDBMS, TDD, Pega, Asset management, Risk management...#####SAN, Automation, Support Analyst, Production support, Asset management...#####SAN, XML, Analytical, Asset management, microsoft, Risk management...#####SAN, Hibernate, Change management, Multithreading, Web development...#####SAN, Manager Quality Assurance, XML, Asset management, microsoft...#####SAN, Change management, Networking, Production support, RDBMS...#####SAN, Db2, Informatica, Unit testing, Teradata, Risk management, Information...#####Business services, SAN, Support Analyst, Trade finance, Consulting, Windows...#####SAN, Manager Quality Assurance, Access management, Information security...#####SAN, Bfsi, Application development, Informatica, Test cases, Oracle...#####Business services, SAN, Wealth management, Trade finance, Workflow...#####Computer science, Business services, SAN, Trade finance, Scheduling...#####SAN, Hibernate, Configuration management, Workflow, Asset management...#####SAN, jQuery, SSRS, Javascript, HTML, Visual Studio, SSIS, microsoft...#####SAN, Due diligence, Trade finance, Workflow, Asset management...#####SAN, MS SQL, Data analysis, MS Access, SSRS, Windows, SSIS, Documentum...#####Unix, SAN, Tomcat, Application support, JBoss, Weblogic, Debugging...#####SAN, Performance tuning, Hibernate, Web services, JSP...#####SAN, Cisa, Cobit, Information security, Consulting, Performance testing...#####Microstrategy, SAN, Backend, Agile, Unit testing, Asset management...#####SAN, System testing, Db2, Informatica, Teradata, Risk management...#####SAN, RDBMS, TDD, Pega, Asset management, Risk management...#####SAN, Maven, Hibernate, Tomcat, Coding, Debugging, Application development...#####SAN, Business analysis, Agile, Asset management, Risk management...#####Unix, SAN, Performance tuning, Application support, Production support...#####Automation, MS SQL, jQuery, Networking, XML, Javascript, HTML, Perl, Oracle...#####SAN, MS SQL, Production support, SSRS, Javascript, Performance testing...#####Hibernate, Core Java, SOA, Production support, JSP, MySQL, PLSQL, JDBC...#####SAN, Hibernate, SOA, Production support, RDBMS, Javascript, Agile, PLSQL...#####Unix, SAN, Performance tuning, Application support, XML, Agile, Ab Initio...#####SAN, SSRS, Javascript, Agile, Winforms, WCF, SSIS, microsoft, SDLC, SQL#####SAN, Performance tuning, jQuery, Coding, SSRS, Debugging, Javascript, WCF...#####VMware, SAN, Support Analyst, Networking, Production support, Solaris...#####SAN, Performance tuning, MS SQL, Database design, SSRS, JSON...#####SAN, jQuery, SOA, XML, Debugging, HTML, Perl, Application development, MVC,...#####Unix, SAN, Linux, Networking, Production support, Coding, Shell scripting..."
Win Information Technology Pvt. Ltd.,4,"coldcalling, inside sales, BDE, email campaigning, lead generation, Sr. BDE...#####Business Analyst, Consumer Goods Sales, Blue Print consultant, FMCG Sales...#####C#, Angular JS, MS SQL, ADO.Net, Dot Net Developer, asp.net, MySQL, .Net...#####C#, Dot Net Developer, .Net 3.5 C#, WPF, Angular, WF, Angular JS, MS SQL..."
Windel Solutions,1,"Wordpress CMS, css, code, software, Database design, CMS..."
Xenosoft Technologies India Pvt Ltd,1,"VMware, Networking, V, Postgresql, Active Directory Administration, DNS..."
Yellowpages.in,1,"Excel, HR operations, google apps, hr solutions..."
Young India Information Technology Services (P) Lt,6,"Sales, Subject Matter Expert, Research#####SSRS, Sharepoint, SQL#####Performance tuning, code, android, developing, JSON, Troubleshooting, tools...#####c#, server, developing, Stored procedures, triggers, sql, SQL queries...#####ERP, technical, developer#####development, solid, html5, CMS, mobile, developing, HTML, jQuery mobile..."
Zessta Software Services Pvt. Ltd,1,"Database architecture, C++, Usage, development, code, solid, methods..."
eBusinesswall IT Solutions,1,"Operations management, Management Associate, PDF, Linux, Software Associate..."
eNFLUENCE IT Services,3,"QoS, Windows Server, IT Administrator, Cisco, DNS, System Administration...#####Business Analyst, Project Management, System Design, Integration Testing...#####QoS, Windows Server, Cisco, DNS, System Administration..."
enVista,2,"Computer science, SQL queries, Core Java, Relationship, Programming, PLSQL,...#####Computer science, Application support, Publishing, jQuery, Analytical..."
hCapital Business Consulting Private Limited,1,"Internal Audit, Director, tax, accounts, accounting, cost analysis..."
i2t2 India Ltd,1,"development, Business Analyst, Architectural design, Tools, Gap analysis..."
iSpatial Techno Solutions Pvt Ltd.,2,"Analytical skills, Basic, bca, development, VB.NET, analytical, software...#####Analytical skills, Basic, bca, development, VB.NET, analytical, software..."
iconma Professional Services & Solution Pvt. Ltd.,1,"US Staffing, fresher, IT Recruitment, technical recruitment..."
inVentiv International Pharma Services Pvt. Ltd.,1,"security, courier, special economic zone, administration..."
itForte Staffing Services Private Ltd.,13,"Computer science, UI, User interface designing, Illustrator, Analytical...#####ISO, XML, JSP, Salesforce.com, Tools, Service, JSON, Information technology...#####Domino, VMware, Maven, Manager Quality Assurance, devops...#####Computer science, Cocoa touch, UX, Agile, SDK, IOS, Photoshop...#####configuration management, release management, information technology...#####Computer science, Change management, Email, Networking, ISO, XML, Service...#####Networking, ISO, XML, JSP, MIS, JSON, Troubleshooting...#####Computer science, Cocoa touch, UX, User interface designing, Illustrator...#####Computer science, Change management, Email, ISO, XML, Service, HTML...#####Domino, VMware, Maven, Manager Quality Assurance, Version control, GIT...#####java, iso, mis, xml, html, call center, change management, javascript#####, objective c, mobile application, photoshop, agile, sdk, xcode, roid...#####configuration management, release management, software development, nagios,..."
lean infotech,2,"Unix, Application support, Content management, development, technical...#####Unix, Application support, Content management, development, technical..."
"salesforce.com, inc.",1,"SAN, CVS, RDBMS, Scrum, Oracle, Open source, Information technology, SDLC..."
teradata corporation s,1,"Unix, development, c, code, software, Debugging, System programming..."
